date,year,quarter_quarterly,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1656633600000,2022,3,7,1271319,95690,1367009
1656633600000,2022,3,8,65541,1337,66878
1656633600000,2022,3,9,1214546,472323,1686869
1656633600000,2022,3,10,1414642,211383,1626025
1656633600000,2022,3,11,1669382,206328,1875710
1656633600000,2022,3,12,1553971,545989,2099960
1656633600000,2022,3,13,797489,50903,848392
1656633600000,2022,3,14,2406983,1413625,3820608
1656633600000,2022,3,15,109853,9552,119405
1656633600000,2022,3,16,126353,17229,143582
1656633600000,2022,3,18,17044246,4695335,21739581
1656633600000,2022,3,19,13850369,4268072,18118441
1664582400000,2022,4,1,1567252,881578,2448830
1664582400000,2022,4,2,957097,248843,1205940
1664582400000,2022,4,3,311339,12972,324311
1664582400000,2022,4,4,993213,232975,1226188
1664582400000,2022,4,5,645861,41224,687085
1664582400000,2022,4,6,2390865,635545,3026410
1664582400000,2022,4,7,1292036,159688,1451724
1664582400000,2022,4,8,81474,1661,83135
1664582400000,2022,4,9,1345531,549582,1895113
1664582400000,2022,4,10,1211391,361844,1573235
1664582400000,2022,4,11,1461754,320872,1782626
1664582400000,2022,4,12,1603742,563476,2167218
1664582400000,2022,4,13,629697,19473,649170
1664582400000,2022,4,14,2684483,1943936,4628419
1664582400000,2022,4,15,93861,10429,104290
1664582400000,2022,4,16,117947,24157,142104
1664582400000,2022,4,18,17387543,6008255,23395798
1664582400000,2022,4,19,14620537,5315110,19935647
1672531200000,2023,1,1,1686541,475689,2162230
1672531200000,2023,1,2,687424,332299,1019723
1672531200000,2023,1,3,344696,14361,359057
1672531200000,2023,1,4,863000,324965,1187965
1672531200000,2023,1,5,509964,56661,566625
1672531200000,2023,1,6,2620635,645354,3265989
1672531200000,2023,1,7,1053223,130171,1183394
1672531200000,2023,1,8,79377,1619,80996
1672531200000,2023,1,9,1162653,408498,1571151
1672531200000,2023,1,10,1114466,500701,1615167
1672531200000,2023,1,11,1248604,237828,1486432
1672531200000,2023,1,12,1505986,560848,2066834
1672531200000,2023,1,13,646793,26948,673741
1672531200000,2023,1,14,2615280,1817398,4432678
1672531200000,2023,1,15,85738,10596,96334
1672531200000,2023,1,16,120234,28203,148437
1672531200000,2023,1,18,16344614,5572139,21916753
1672531200000,2023,1,19,13895806,4823014,18718820
1680307200000,2023,2,1,1352916,940162,2293078
1680307200000,2023,2,2,669670,329838,999508
1680307200000,2023,2,3,318261,16751,335012
1680307200000,2023,2,4,701201,403538,1104739
1680307200000,2023,2,5,465964,85473,551435
1680307200000,2023,2,6,2575087,858362,3433449
1680307200000,2023,2,7,1040023,146315,1186338
1680307200000,2023,2,8,66657,1709,68366
1680307200000,2023,2,9,1008259,700654,1708913
1680307200000,2023,2,10,965960,543353,1509313
1680307200000,2023,2,11,1216819,283574,1500393
1680307200000,2023,2,12,1409429,567979,1977407
1680307200000,2023,2,13,620780,32673,653453
1680307200000,2023,2,14,2001492,2257002,4258494
1680307200000,2023,2,15,84189,13705,97895
1680307200000,2023,2,16,106815,28394,135209
1680307200000,2023,2,18,14603521,7209480,21813001
1680307200000,2023,2,19,12336553,6368848,18705401
1688169600000,2023,3,1,1468490,1063390,2531880
1688169600000,2023,3,2,648135,414381,1062517
1688169600000,2023,3,3,352478,16134,368612
1688169600000,2023,3,4,885239,379388,1264628
1688169600000,2023,3,5,561867,91859,653726
1688169600000,2023,3,6,2519131,795515,3314646
1688169600000,2023,3,7,1159092,144422,1303513
1688169600000,2023,3,8,78890,1591,80481
1688169600000,2023,3,9,1148589,743249,1891837
1688169600000,2023,3,10,1020429,698629,1719058
1688169600000,2023,3,11,1389925,326032,1715957
1688169600000,2023,3,12,1545568,859047,2404616
1688169600000,2023,3,13,502,111021,613156
1688169600000,2023,3,14,2250191,2271197,4521388
1688169600000,2023,3,15,327410,37299,364709
1688169600000,2023,3,16,127546,45450,172996
1688169600000,2023,3,18,15985116,7998604,23983720
1688169600000,2023,3,19,13247351,6936644,20183996
1696118400000,2023,4,1,1548017,1052408,2600425
1696118400000,2023,4,2,756718,485233,1241951
1696118400000,2023,4,3,328518,12027,340545
1696118400000,2023,4,4,913804,430739,1344544
1696118400000,2023,4,5,559280,106379,665659
1696118400000,2023,4,6,2507523,913366,3420889
1696118400000,2023,4,7,1021779,446758,1468537
1696118400000,2023,4,8,92429,1811,94240
1696118400000,2023,4,9,1476066,624558,2100625
1696118400000,2023,4,10,1388906,478538,1867444
1696118400000,2023,4,11,1547236,370762,1917998
1696118400000,2023,4,12,1524071,799294,2323365
1696118400000,2023,4,13,609200,35685,644885
1696118400000,2023,4,14,2845726,2356183,5201909
1696118400000,2023,4,15,93746,15475,109221
1696118400000,2023,4,16,153507,49579,203086
1696118400000,2023,4,18,17366525,8178797,25545322
1696118400000,2023,4,19,14336638,7314021,21650659
1704067200000,2024,1,1,1787096,543599,2330695
1704067200000,2024,1,2,871220,601343,1472563
1704067200000,2024,1,3,356257,61602,417859
1704067200000,2024,1,4,880011,350663,1227152
1704067200000,2024,1,5,454954,116027,570980
1704067200000,2024,1,6,2970851,566838,3537689
1704067200000,2024,1,7,1030351,220423,1250774
1704067200000,2024,1,8,82466,3105,85571
1704067200000,2024,1,9,1149860,753712,1903572
1704067200000,2024,1,10,1048233,884644,1932877
1704067200000,2024,1,11,1195390,389942,1585332
1704067200000,2024,1,12,1369054,861907,2230961
1704067200000,2024,1,13,544285,71293,615578
1704067200000,2024,1,14,2321780,2814798,5136578
1704067200000,2024,1,15,85989,13771,99760
1704067200000,2024,1,16,122539,68974,191513
1704067200000,2024,1,18,16270336,8319118,24589454
1704067200000,2024,1,19,13940724,7030761,20971485
1711929600000,2024,2,1,1949240,703325,2652565
1711929600000,2024,2,2,811168,472334,1283502
1711929600000,2024,2,3,348390,12218,360608
1711929600000,2024,2,4,822994,332472,1155466
1711929600000,2024,2,5,432438,99684,532122
1711929600000,2024,2,6,2952048,788905,3740953
1711929600000,2024,2,7,970680,185744,1156424
1711929600000,2024,2,8,73734,2067,75801
1711929600000,2024,2,9,1238752,678246,1916998
1711929600000,2024,2,10,942156,833023,1775179
1711929600000,2024,2,11,1252668,388026,1640694
1711929600000,2024,2,12,1443563,710533,2154096
1711929600000,2024,2,13,665496,69467,734963
1711929600000,2024,2,14,2113032,2979677,5092709
1711929600000,2024,2,15,92977,9604,102581
1711929600000,2024,2,16,137273,50580,187853
1711929600000,2024,2,18,16246609,8315905,24562514
1711929600000,2024,2,19,13958808,7085252,21044060
1719792000000,2024,3,1,1983959,787349,2771308
1719792000000,2024,3,2,816735,470850,1287585
1719792000000,2024,3,3,401863,16646,418509
1719792000000,2024,3,4,893799,393045,1286844
1719792000000,2024,3,5,589707,137325,727032
1719792000000,2024,3,6,2962437,766927,3729364
1719792000000,2024,3,7,1155520,221126,1376646
1719792000000,2024,3,8,75859,1871,77730
1719792000000,2024,3,9,1345049,820060,2165109
1719792000000,2024,3,10,1089467,938796,2028263
1719792000000,2024,3,11,1703331,394239,2097570
1719792000000,2024,3,12,1584797,957095,2541892
1719792000000,2024,3,13,698746,97826,796572
1719792000000,2024,3,14,2279963,3259194,5539157
1719792000000,2024,3,15,114636,12737,127373
1719792000000,2024,3,16,140546,51013,191559
1719792000000,2024,3,18,17836414,9326099,27162513
1719792000000,2024,3,19,14928980,7980327,22909307
