date,year,quarter_quarterly,state_id,aor_quarter
1719792000000,2024,3,12,56.7
1719792000000,2024,3,13,53.2
1719792000000,2024,3,14,62.9
1719792000000,2024,3,15,40.1
1719792000000,2024,3,16,56.4
1719792000000,2024,3,18,58.1
1727740800000,2024,4,1,54.8
1727740800000,2024,4,2,47.8
1727740800000,2024,4,3,37.3
1727740800000,2024,4,4,49.7
1727740800000,2024,4,5,45.9
1727740800000,2024,4,6,76.5
1727740800000,2024,4,7,49.9
1727740800000,2024,4,8,42.2
1727740800000,2024,4,9,60.1
1727740800000,2024,4,10,49.1
1727740800000,2024,4,11,49.2
1727740800000,2024,4,12,54.2
1727740800000,2024,4,13,41.9
1727740800000,2024,4,14,67.0
1727740800000,2024,4,15,42.8
1727740800000,2024,4,16,59.3
1727740800000,2024,4,18,56.6
1735689600000,2025,1,1,48.0
1735689600000,2025,1,2,49.1
1735689600000,2025,1,3,38.3
1735689600000,2025,1,4,41.0
1735689600000,2025,1,5,38.3
1735689600000,2025,1,6,73.6
1735689600000,2025,1,7,38.7
1735689600000,2025,1,8,35.1
1735689600000,2025,1,9,53.6
1735689600000,2025,1,10,53.8
1735689600000,2025,1,11,40.7
1735689600000,2025,1,12,49.1
1735689600000,2025,1,13,36.7
1735689600000,2025,1,14,61.4
1735689600000,2025,1,15,36.3
1735689600000,2025,1,16,56.7
1735689600000,2025,1,18,52.3
1743465600000,2025,2,1,55.4
1743465600000,2025,2,2,50.4
1743465600000,2025,2,3,45.2
1743465600000,2025,2,4,44.3
1743465600000,2025,2,5,41.3
1743465600000,2025,2,6,76.8
1743465600000,2025,2,7,46.6
1743465600000,2025,2,8,47.4
1743465600000,2025,2,9,56.0
1743465600000,2025,2,10,50.2
1743465600000,2025,2,11,46.9
1743465600000,2025,2,12,52.6
1743465600000,2025,2,13,45.7
1743465600000,2025,2,14,65.8
1743465600000,2025,2,15,40.7
1743465600000,2025,2,16,55.4
1743465600000,2025,2,18,55.8
1751328000000,2025,3,1,57.38
1751328000000,2025,3,2,53.04
1751328000000,2025,3,3,49.96
1751328000000,2025,3,4,47.74
1751328000000,2025,3,5,48.97
1751328000000,2025,3,6,78.23
1751328000000,2025,3,7,50.76
1751328000000,2025,3,8,41.06
1751328000000,2025,3,9,62.58
1751328000000,2025,3,10,59.5
1751328000000,2025,3,11,53.15
1751328000000,2025,3,12,59.57
1751328000000,2025,3,13,55.85
1751328000000,2025,3,14,68.72
1751328000000,2025,3,15,40.97
1751328000000,2025,3,16,55.53
1751328000000,2025,3,18,60.46
1759276800000,2025,4,1,55.9
1759276800000,2025,4,2,51.1
1759276800000,2025,4,3,37.1
1759276800000,2025,4,4,50.6
1759276800000,2025,4,5,48.1
1759276800000,2025,4,6,76.6
1759276800000,2025,4,7,48.7
1759276800000,2025,4,8,42.5
1759276800000,2025,4,9,61.6
1759276800000,2025,4,10,53.0
1759276800000,2025,4,11,48.6
1759276800000,2025,4,12,58.6
1759276800000,2025,4,13,42.3
1759276800000,2025,4,14,71.5
1759276800000,2025,4,15,40.0
1759276800000,2025,4,16,56.4
1759276800000,2025,4,18,58.5
1767225600000,2026,1,1,45.2
1767225600000,2026,1,2,51.9
1767225600000,2026,1,3,33.8
1767225600000,2026,1,4,36.7
1767225600000,2026,1,5,39.0
1767225600000,2026,1,6,70.5
1767225600000,2026,1,7,43.0
1767225600000,2026,1,8,33.5
1767225600000,2026,1,9,55.5
1767225600000,2026,1,10,51.9
1767225600000,2026,1,11,39.0
1767225600000,2026,1,12,50.7
1767225600000,2026,1,13,34.4
1767225600000,2026,1,14,60.7
1767225600000,2026,1,15,30.9
1767225600000,2026,1,16,54.9
1767225600000,2026,1,18,51.5
