date,year,quarter_cumulative,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1688169600000,2023,3,1,4507947,2479241,6987188
1688169600000,2023,3,2,2005229,1076517,3081746
1688169600000,2023,3,3,1015435,47246,1062681
1688169600000,2023,3,4,2449440,1107891,3557331
1688169600000,2023,3,5,1537795,233993,1771788
1688169600000,2023,3,6,7714853,2299231,10014084
1688169600000,2023,3,7,3252338,420908,3673246
1688169600000,2023,3,8,224924,4919,229843
1688169600000,2023,3,9,3319501,1852401,5171902
1688169600000,2023,3,10,3100855,1742683,4843538
1688169600000,2023,3,11,3855348,847434,4702782
1688169600000,2023,3,12,4460983,1987874,6448857
1688169600000,2023,3,13,1769708,170642,1940350
1688169600000,2023,3,14,6866963,6345597,13212560
1688169600000,2023,3,15,497337,61599,558936
1688169600000,2023,3,16,354595,102047,456642
1688169600000,2023,3,18,46933251,20780223,67713474
1688169600000,2023,3,19,39479711,18128507,57608219
1696118400000,2023,5,1,6055964,3531649,9587613
1696118400000,2023,5,2,2761947,1561751,4323697
1696118400000,2023,5,3,1343953,59273,1403226
1696118400000,2023,5,4,3363245,1538630,4901875
1696118400000,2023,5,5,2097075,340372,2437448
1696118400000,2023,5,6,9551216,2823860,12375076
1696118400000,2023,5,7,4274117,867665,5141782
1696118400000,2023,5,8,317353,6730,324083
1696118400000,2023,5,9,4795567,2476959,7272526
1696118400000,2023,5,10,4489761,2221221,6710982
1696118400000,2023,5,11,5402584,1218196,6620780
1696118400000,2023,5,12,5985054,2787168,8772223
1696118400000,2023,5,13,2378908,206327,2585235
1696118400000,2023,5,14,9712689,8701780,18414469
1696118400000,2023,5,15,367584,51615,419199
1696118400000,2023,5,16,508102,151626,659728
1696118400000,2023,5,18,63405118,28544824,91949942
1696118400000,2023,5,19,53145189,25053792,78198981
1704067200000,2024,1,1,1683612,548803,2232415
1704067200000,2024,1,2,663257,601410,1264667
1704067200000,2024,1,3,357020,18020,375040
1704067200000,2024,1,4,862001,347141,1209142
1704067200000,2024,1,5,454954,116026,570980
1704067200000,2024,1,6,2239769,594058,2833827
1704067200000,2024,1,7,1030351,220423,1250774
1704067200000,2024,1,8,82466,3105,85571
1704067200000,2024,1,9,1149860,753712,1903572
1704067200000,2024,1,10,916902,803456,1720358
1704067200000,2024,1,11,1248765,316976,1565741
1704067200000,2024,1,12,1369054,861907,2230961
1704067200000,2024,1,13,544285,71293,615578
1704067200000,2024,1,14,2321780,2814798,5136578
1704067200000,2024,1,15,85989,13771,99760
1704067200000,2024,1,16,122539,68974,191513
1704067200000,2024,1,18,15132604,8153873,23286477
1704067200000,2024,1,19,12880948,7019670,19900618
1711929600000,2024,2,1,3424428,980226,4889252
1711929600000,2024,2,2,1357268,1032464,2389732
1711929600000,2024,2,3,713721,30238,743959
1711929600000,2024,2,4,1690284,647238,2390783
1711929600000,2024,2,5,894415,38902,1110125
1711929600000,2024,2,6,4361819,1380081,5741900
1711929600000,2024,2,7,2047048,397048,2444096
1711929600000,2024,2,8,157634,5034,162668
1711929600000,2024,2,9,2216615,1610866,3827481
1711929600000,2024,2,10,1839205,1519905,3359110
1711929600000,2024,2,11,2592610,599673,3192283
